id	logFC	AveExpr	t	P.Value	adj.P.Val	B
ARHGEF1	0.645473259152074	7.99938418665471	5.65152695059226	4.66887802269376e-08	1.16126828027274e-06	8.11507207295377
SERPINE2	0.633888869054994	10.2698838713453	5.64920951995	4.72448833529709e-08	1.17331951975537e-06	8.10374099873465
IL1R1	0.912725319091434	6.29247206787892	5.64365702698787	4.86037112483519e-08	1.20523968392093e-06	8.07660631769346
KLC1	-0.739928117960492	9.62970857376233	-5.64094337320163	4.92816044586806e-08	1.21836316543323e-06	8.06335217032137
LRRC4	-0.953070315521525	6.51891667624215	-5.63990457600652	4.95435384654098e-08	1.22299418522068e-06	8.05827970158382
BCLAF1	0.715986530154491	8.34951714549776	5.6376755078982	5.01101930669393e-08	1.23326752936967e-06	8.04739748921919
OSBPL11	0.727814734089654	7.99954929843049	5.63462540092737	5.08958206314333e-08	1.25072473158894e-06	8.03251225173839
TSPAN7	-0.615606848803896	10.6000515996816	-5.62833095022481	5.25552754318593e-08	1.2876435270607e-06	8.00181304594928
ALAS1	-0.722726641464924	8.03176928621973	-5.62639483581578	5.30762389424199e-08	1.29846661567941e-06	7.99237545806549
FBXL17	0.788347268571679	9.81068433706726	5.6250258301863	5.3447643273554e-08	1.30542759487637e-06	7.9857037191296
U2AF1	-0.718539387021453	9.27077806681614	-5.62475997266781	5.35200624584784e-08	1.30542759487637e-06	7.98440822584873
SCRIB	0.643416399998864	9.42243391717937	5.62426971278909	5.36538595797485e-08	1.30674652655521e-06	7.98201936663027
CDC14B	0.613131162299793	7.37012599498655	5.62136957352385	5.4452037436495e-08	1.32225680832828e-06	7.96789124874351
NIF3L1	-0.66435680247686	7.62407406906726	-5.62077660081521	5.4616655995796e-08	1.32429232015842e-06	7.96500324081378
CLEC2L	-0.805137789491205	6.63934668044843	-5.61866489104232	5.52068517280157e-08	1.33662556377239e-06	7.9547202591886
TRIM5	0.740737015217544	5.3113461350583	5.61834799241877	5.5295955925839e-08	1.33680827961715e-06	7.95317737132699
MICALL2	0.987697037659573	6.21788834674439	5.61672693182599	5.57539573526656e-08	1.34589560378136e-06	7.94528592284165
SV2B	-0.858577385830991	10.6339672322152	-5.61624672269228	5.58903406971425e-08	1.34720378583362e-06	7.94294855759671
MAGED2	-0.96323492056765	8.07031469067265	-5.61354364844024	5.6664128230839e-08	1.36185003787637e-06	7.92979445512955
MCM4	-0.794855944966779	5.14381848240807	-5.61050602016888	5.75461565930634e-08	1.37900446303641e-06	7.91501800211243
ZNF320	0.703664530358013	7.26210357524664	5.60733256505424	5.84819240383408e-08	1.39734288179657e-06	7.89958727584883
CBX5	0.662496626805355	8.72836639073991	5.60359565934765	5.9602874089614e-08	1.4220534340653e-06	7.88142526402105
LDHA	-0.757101175602324	11.0955316969283	-5.60165089269471	6.01945027125759e-08	1.43408153192127e-06	7.87197698021489
MRPS23	-0.925911870585068	7.43423409941256	-5.60095815593123	6.04066243323193e-08	1.43704641426857e-06	7.86861204750114
EP300	0.635493857265442	7.25959219630493	5.59637714841338	6.18278287807198e-08	1.46872455296345e-06	7.84636796339555
STMN1	-0.974310542586678	5.50998421966368	-5.59211475529583	6.3179438053129e-08	1.49572501401953e-06	7.82568334574895
ZIC2	0.881524962756484	7.08873128466816	5.5919314498158	6.3238206010343e-08	1.49572501401953e-06	7.82479406506309
TES	1.0127410955383	4.685543024713	5.58925255053503	6.41031704346377e-08	1.51399865503479e-06	7.81180028009876
GLRB	-0.933802007447668	5.66549009100448	-5.58291457339971	6.61957681778825e-08	1.55446251605111e-06	7.78107720216399
ADD2	-0.716953251790517	7.11191663181166	-5.58261266905865	6.62970918479516e-08	1.55461463874074e-06	7.77961439221434
NDUFA13	-0.653125593669891	9.70361793034081	-5.58144548801224	6.66902398021225e-08	1.55715059914044e-06	7.77395964116233
PLXDC2	0.636124591338015	7.62007353833632	5.57058193873486	7.04602050201288e-08	1.63585441995033e-06	7.72137097429695
SDR16C5	-0.891895959619902	5.84917367252915	-5.56915838990006	7.09693600033367e-08	1.64440466827656e-06	7.71448556350426
ITGAV	0.725041915774391	9.12388192609417	5.5653884550679	7.23351267070971e-08	1.66950930395272e-06	7.69625761834619
KLF6	0.613618555664086	8.46646008352466	5.56515899189643	7.24190784644246e-08	1.66950930395272e-06	7.69514844736711
ACLY	-0.703035527720369	7.29564345308072	-5.56297515749022	7.32228278839192e-08	1.68566765708612e-06	7.68459404247893
SMCHD1	0.759502489432354	7.95220634993274	5.56232427704431	7.34640587349896e-08	1.68648373490926e-06	7.68144896531295
LAMB1	-0.768948532457017	6.95162474411659	-5.55943111888658	7.45457359732484e-08	1.70892189977275e-06	7.66747250393038
USE1	-0.711924982707948	7.95880244780717	-5.55673717952867	7.55668791023533e-08	1.72749890567179e-06	7.65446340568389
RRAGB	-1.03381098049782	5.3900589326278	-5.55103451967729	7.77736661119905e-08	1.77430105287864e-06	7.62694092305743
NPTX2	-0.80994534105128	7.77664509908969	-5.5503607859467	7.80384969403676e-08	1.77656806020773e-06	7.62369073134942
THOC5	-0.603741639219806	7.52434949832287	-5.54184908117708	8.14609189899143e-08	1.84934338388322e-06	7.58265482913692
GABRG2	-0.801432501469929	9.50921436426009	-5.54084504104735	8.18741472305348e-08	1.85615373064412e-06	7.57781739452878
TTLL1	-0.770791179695856	6.8785796763991	-5.53564814029392	8.40458806076809e-08	1.90275694618853e-06	7.55278954400171
TDRD3	0.612578273988393	6.80818024815695	5.53065042438001	8.61872779591827e-08	1.94051603438044e-06	7.52873781142839
VASN	0.674919078746172	6.39248483986547	5.52760770560465	8.75169489916443e-08	1.96505522044115e-06	7.51410269136235
PPP1CA	-0.818018065973552	7.51333224081166	-5.52716930609273	8.77101701409953e-08	1.96577261225958e-06	7.51199454672151
